sample	time	resource	inoculum	replicate.id
S_00366	Day_004	Medium-C	Soil	2
S_00367	Day_004	Medium-C	Soil	3
S_00368	Day_004	Medium-C	Soil	4
S_00377	Day_004	Medium-C	Water	5
S_00378	Day_004	Medium-C	Water	6
S_00379	Day_004	Medium-C	Water	7
S_00380	Day_004	Medium-C	Water	8
S_00381	Day_004	Medium-C	Soil	5
S_00382	Day_004	Medium-C	Soil	6
S_00383	Day_004	Medium-C	Soil	7
S_00384	Day_004	Medium-C	Soil	8
S_00393	Day_005	Medium-A	Water	1
S_00394	Day_005	Medium-A	Water	2
S_00395	Day_005	Medium-A	Water	3
S_00396	Day_005	Medium-A	Water	4
S_00397	Day_005	Medium-A	Soil	1
S_00398	Day_005	Medium-A	Soil	2
S_00399	Day_005	Medium-A	Soil	3
S_00400	Day_005	Medium-A	Soil	4
S_00409	Day_005	Medium-A	Water	5
S_00410	Day_005	Medium-A	Water	6
S_00411	Day_005	Medium-A	Water	7
S_00412	Day_005	Medium-A	Water	8
S_00413	Day_005	Medium-A	Soil	5
S_00414	Day_005	Medium-A	Soil	6
S_00415	Day_005	Medium-A	Soil	7
S_00416	Day_005	Medium-A	Soil	8
S_00425	Day_005	Medium-B	Water	1
S_00426	Day_005	Medium-B	Water	2
S_00427	Day_005	Medium-B	Water	3
S_00428	Day_005	Medium-B	Water	4
S_00429	Day_005	Medium-B	Soil	1
S_00430	Day_005	Medium-B	Soil	2
S_00431	Day_005	Medium-B	Soil	3
S_00432	Day_005	Medium-B	Soil	4
S_00441	Day_005	Medium-B	Water	5
S_00442	Day_005	Medium-B	Water	6
S_00443	Day_005	Medium-B	Water	7
S_00444	Day_005	Medium-B	Water	8
S_00445	Day_005	Medium-B	Soil	5
S_00446	Day_005	Medium-B	Soil	6
S_00447	Day_005	Medium-B	Soil	7
S_00448	Day_005	Medium-B	Soil	8
S_00457	Day_005	Medium-C	Water	1
S_00458	Day_005	Medium-C	Water	2
S_00459	Day_005	Medium-C	Water	3
S_00460	Day_005	Medium-C	Water	4
S_00461	Day_005	Medium-C	Soil	1
S_00462	Day_005	Medium-C	Soil	2
S_00463	Day_005	Medium-C	Soil	3
S_00464	Day_005	Medium-C	Soil	4
S_00473	Day_005	Medium-C	Water	5
S_00474	Day_005	Medium-C	Water	6
